name,date
Hannah Rosenthal,5/3/2011
Google Workshop,5/4/2011
White Collar Crime: A Look Inside the FBI’s Financial Crime Portfolio,5/5/2011
Ongoing Budget Debate,5/6/2011
Arctic Council Roundtable - DAS Balton,5/9/2011
Pandith & Rosenthal - Against Hate Campaign,5/10/2011
Cyberstrategy with Chris Painter,5/17/2011
OECD Brief Hormats and Boucher,5/17/2011
Amos Tuck/Exec Education for Women,5/19/2011
Amb. Verveer/ Pacific Women's Initiative,5/20/2011
U/S McHale,5/20/2011
Customs and Border Protection,5/26/2011
J1 website rollout,5/31/2011
"AGOA with A/S Carson, MCC, USTR",6/2/2011
Balkan Roundtable DAS Countryman,6/6/2011
Backus Debt Debate,6/8/2011
Severe Weather Update Briefing,6/8/2011
David Lublin on Debt Limit,6/9/2011
HIV/AIDS,6/9/2011
Attias New York Forum,6/14/2011
Foursquare,6/16/2011
A/S Valenzuela & A/S Brownfield on S Trip to Guatemala/Jamaica,6/20/2011
Norm Ornstein on GOP,6/22/2011
Cosmos,6/23/2011
TIP Report Briefing / TIP Heroes 1-1s,6/27/2011
TIP Report,6/28/2011
U/S Otero on Open Government Partnership,7/11/2011
The Conference Board,7/12/2011
Michael Lind: Civil War Legacy,7/20/2011
Horn of Africa Famine,7/22/2011
U.S.-India Strategic Dialogue Readout,7/22/2011
Chairman Mullen National Security Strategy Briefing,7/25/2011
Pandith Muslim Engagement,8/11/2011
India Roundtable to follow-up on U.S.-India Strategic Dialogue,8/18/2011
MG Buchanan Iraq - Operation New Dawn Update,8/18/2011
On Background Roundtable on Syria,8/19/2011
Sree Social Media Workshop,8/23/2011
Meeks,9/6/2011
Ben Rhodes -- 9/11 Anniversary,9/8/2011
Brooks-Rubin,9/12/2011
UNSCR 1540 Committee on WMD Counter-proliferations,9/14/2011
Hammer,9/16/2011
NYCEDC Pres. Pensky,9/16/2011
Hormats UNGA,9/19/2011
Schreier,9/19/2011
Otero,9/20/2011
Quam GHI,9/20/2011
Benjamin,9/22/2011
Campbell,9/22/2011
Fernandez,9/23/2011
Turkish Media for Istanbul PAO,9/23/2011
Hammer,9/26/2011
"ADM Willard ""Asia Pacific Military Overview""",9/27/2011
DAS Donahue '2013 Diversity Visa Program',9/28/2011
Dept Commerce U/S Sanchez on Am Competitiveness Forum,9/29/2011
Euro Media For FSI Area Studies Course,10/11/2011
"East Asian Media for LTG Johnson, USF-K",10/12/2011
NSC's Dan Restrepo on the Free Trade Agreements,10/13/2011
Economic Statecraft / Sullivan,10/14/2011
Coordinator Painter -- U.S. Cybersecurity Update,10/18/2011
How To Cover DoD,10/19/2011
"Briefing by Rose Gottemoeller, A/S for Arms Control",10/20/2011
"Economy & Women / OECD w/Verveer, Steinberg",10/27/2011
Empire State Development CEO Adams,10/31/2011
Brig General Ray,11/2/2011
Crowdfunding,11/2/2011
"Media Roundtable With AMB Daalder, ""Non-NATO Contributions To NATO Operations in Libya""",11/7/2011
Media For Latin American De-Mining,11/9/2011
"30 Mosques, 30 Days",11/10/2011
ECA Roundtable on International Education Week,11/14/2011
ENR Briefing with Amb. Carlos Pascual,11/21/2011
Ben Rhodes: readout of President Obama's Trip to Asia,11/22/2011
Climate Change Update w/Envoy Todd Stern,11/22/2011
US-EU Summit Briefing,11/28/2011
World AIDS Day,11/30/2011
World AIDS Day w/Chris Collins of amFAR,11/30/2011
Balkan Roundtable DAS Reeker,12/1/2011
Briefing Biological Weapons Convention Preview w/ A/S Countryman,12/1/2011
"Role of Caucuses, Primaries and National Conventions",12/5/2011
"100,000 Strong Briefing",12/6/2011
Virtual Embassy Tehran,12/6/2011
Role of Foreign Policy in 2012 Elections,12/13/2011
"Zogby briefing on Iowa, NH",1/3/2012
A/S Gordon on the Defense Strategy Review - Europe,1/9/2012
Media For Georgetown Media Panel,1/10/2012
Media For Defense Strategy Review - Implications for Asia,1/13/2012
Preview of SC/Florida Primaries -  Prof Shapiro,1/18/2012
Analysis of S. Carolina & Looking Ahead to Florida,1/23/2012
ADM Willard 'Asia Pacific Military Overview',1/27/2012
Broadcasters Pol. Convention Orientation w/Olga Ramirez Kornacki,1/30/2012
Readout of Florida primary and look ahead to upcoming caucuses and primaries,2/1/2012
Hammer Briefing/Winter Reception,2/13/2012
FGM- Amb. Verveer,2/15/2012
Amb. Shannon Roundtable - Global Business Conference,2/22/2012
Roundtable on Africa for Glob. Bus. Conf. w/Wm. Fitzgerald,2/22/2012
U.S. Economic Engagement with Asia,2/22/2012
US Ambassador Solomont - Global Business Conference,2/22/2012
Muslim Leaders speak on Quran desecration in Afghanistan,2/23/2012
Social Entrepreneurism Panel Briefing,2/26/2012
Election 2012 Economic Issues,3/5/2012
Super Tuesday Election with John Zogby,3/6/2012
Balkan Briefing DAS Reeker,3/9/2012
Campaign Finance in U.S. Elections,3/16/2012
A-A/S Mike Hammer Briefing 3/21/12,3/21/2012
The Role of Media in U.S. Elections,3/23/2012
Hormats on 21st Century Economic Tradecraft,3/29/2012
Technology Trends Panel,4/4/2012
Restrepo Roundtable on Visit of Brazil President,4/6/2012
Refugee Resettlement: PRM Briefing,4/11/2012
Role of Independents in 2012 Elections,4/13/2012
Sect'y Interior Salazar on Scene Setter to Brazil,4/13/2012
free the press campaign,4/18/2012
Media Roundtable on Pacific Partnership 2012,4/18/2012
Counter-piracy Media Roundtable,4/20/2012
Special Advisor on Youth Ronan Farrow,4/23/2012
'State of the Media 2012' Pew report,4/26/2012
The African-American Vote in 2012,5/4/2012
The Women's Vote in 2012 w/Karen O'Connor of Am. Univ.,5/8/2012
Increasing International Travel and Tourism to the U.S.:  A National Strategy,5/10/2012
Conversation with David Henry Hwang,5/17/2012
2012 Election 'Brown Bag' On the Senior Vote,5/23/2012
Ben Rhodes Post- G-8 and NATO Summit Briefing,5/23/2012
Hispanic Impact on U.S. Economy/Business,5/24/2012
HRR briefing,5/24/2012
A/S Hammer HST briefing in Spanish,6/1/2012
African Women Entrepreneurs,6/4/2012
"CBP: "" Know Before You GO""",6/7/2012
Fulbright Scholarhip Board on Fullbright in Latin America,6/11/2012
African Growth and Opportunity Act (AGOA) Forum Briefing,6/12/2012
D Nides: Global Economic Statecraft,6/13/2012
A/S Blake - U.S. India Strategic Dialogue,6/14/2012
World Refugee Day,6/18/2012
Social Media and Elections,6/20/2012
Phone Interviews on Rim of the Pacific (RIMPAC) Naval Exercise 2012,7/3/2012
AIDS 2012 Pre-Conference Briefing,7/10/2012
A/S Jacobson - WHA Agenda,7/11/2012
How To Cover Political Conventions,7/13/2012
USS Rappahannock - Indian media,7/18/2012
U/S Hormats briefing on Burma trade,7/24/2012
A/S Hammer on Foreign Policy Issues,7/26/2012
APEC Background Briefing,8/29/2012
U.S. Embassy Brazil DCM Todd Chapman,9/4/2012
Nides roundtable for Egyptian journalists-private sector development in Egypt,9/5/2012
"Peter Brown VA, WI, CO Polling Update",9/19/2012
Assistant Secretary Blake -- UNGA,9/26/2012
A/S Gordon on U.S. Foreign Policy in Europe,9/27/2012
NEA Acting A/S Elizabeth Jones -- Backgrounder on US Priorities in Region,9/27/2012
A/S Campbell on US Foreign Policy in East Asia,9/28/2012
A/S Hammer UNGA Wrap-Up Briefing,9/28/2012
Assistant Secretary Jacobson on US Foreign Policy in the Western Hemisphere,9/28/2012
Diversity Visa - 2014,10/1/2012
Voting Rights in the U.S.,10/1/2012
Peter Brown on Pre-Debate Polls,10/2/2012
Peter Brown Polling Update,10/2/2012
A/S Hammer Briefing on Current US Foreign Policy Issues,10/11/2012
DC Fall Reception with A/S Hammer,10/11/2012
A/S Jacobson Pathways to Prosperity Preview,10/18/2012
DAS Reeker on US Foreign Policy towards the Western Balkans,10/19/2012
Political Consultant Bob Shrum,10/22/2012
The Electoral College,10/24/2012
State of the Campaign on the Eve of Election Day,11/5/2012
Election Day Briefing: Conference Board,11/6/2012
Election Day Briefings - Washington FPC,11/6/2012
Analysis of the Election Results,11/7/2012
Walter Russell Mead on U.S. Foreign Policy Agenda,11/13/2012
Under Secretary Hormats Briefing on Wildlife Trafficking,11/15/2012
Cyber Security - J. Morton (ICE),11/26/2012
Conference Board Global Economic Outlook,11/29/2012
Turkey Economic Partnership Commission Briefing - A/S Fernandez and Turkish Amb. Gucuk,11/29/2012
Global Trends 2030,12/7/2012
Media Coverage of 57th Presidential Inauguration,1/16/2013
A/S Fernandez on U.S. Mexico Econ Relationship,1/18/2013
Presidential Inaugurations/Cornfield,1/18/2013
FEMA Hurricane Sandy Recovery Update,1/29/2013
Allan Lichtman: State of the Union Address Preview,2/11/2013
Major League Soccer in the US and Role in Diplomacy,2/12/2013
Maker Media CEO Dale Dougherty,2/19/2013
Panel on Corporate Governance,2/20/2013
Briefing on Financial Institution Risk Culture,3/1/2013
A/S Jose Fernandez on East Asia and Pacific Issues,3/8/2013
USAID  Raj Shah on Burma and India,3/13/2013
FBI Partnerships in Latin America,3/14/2013
AMB D. Marantis - USTR on TPP,3/20/2013
Global Aging Trends Panel Briefing,3/20/2013
DCM Brasilia Todd Champan on US-Brazil relations,3/21/2013
New Congress  - Miriam,3/21/2013
EB A/S Fernandez & Mexican delegation,4/12/2013
PM A/S Shapiro Political Military Affairs Briefing,4/18/2013
DRL AA/S Zeya - Human Rights Country Reports 2012,4/19/2013
Briefing: Treasury on Illicit Finance in the Middle East,4/23/2013
2013 Free the Press Campaign,4/25/2013
New Face of America,4/29/2013
Briefing: CPB's annual know before you go,5/3/2013
NSS Zuniga & A/S Jacobson on POTUS trip to WHA,5/15/2013
Treasury U/S Brainard  Press Roundtable,5/16/2013
EUR Brief with OHIDR on 2012 Elections,5/21/2013
PSI Ten-Year Anniversary - ISN and DoD,5/23/2013
VPOTUS Natl Sec Advisor Jake Sullivan & WHA A/S Jacobson,6/3/2013
PRM A/S Richard on travel to Colombia & Ecuador,6/7/2013
Empire State Building Sustainability Retrofit Briefing,6/11/2013
Citi Bike Briefing,6/12/2013
"DC 101: The Unique Political System, Economy, Culture, and History of Our Nation's Capital (Andy)",6/18/2013
U.S. Immigration Law and LGBT Community - Briefing,6/19/2013
World Refugee Day Tour and Briefing,6/19/2013
The Show Must Go On - Broadway Sustainability,6/26/2013
Innovate Health Tech NYCEDC Demo Day,7/10/2013
L@State - USAID Administrator Shah on U.S.-Africa Partnership,7/11/2013
EAP A/S Daniel Russel,7/22/2013
AGOA Forum US Company Acrow Corp,7/29/2013
Preview of the 2013 African Growth and Opportunity Act (AGOA) Forum,7/31/2013
EUR DAS Reeker Balkan Update,8/9/2013
March on Washington Briefing,8/26/2013
ICE Briefing on Stolen Art,9/6/2013
Impact of America's New Globally-Minded Youth,9/10/2013
SRAP Dobbins on Current U.S. Policy in Afghanistan and Pakistan,9/16/2013
To Walk the Earth in Safety: 20 Years of U.S. Humanitarian Demining and Conventional Weapons Destruction,9/17/2013
DOS Wang/USTR Augerot Pre-Brief for APEC 2013,9/18/2013
Driving Sustainability in the Transportation Sector,9/18/2013
IO A/S Dean Pittman (UNGA),9/20/2013
Current U.S. Policy in Afghanistan and Pakistan,9/25/2013
A/S Richard on Humanitarian Efforts in Syria and Around the World,9/26/2013
A/S Russel on U.S. Foreign Policy in Asia-Pacific Region (UNGA),9/27/2013
Briefing: EB A/S Fernandez - Economic Statecraft in NEA,9/27/2013
EB A/S Fernandez - Economic Statecraft in WHA,9/27/2013
WHA A/S Roberta Jacobson (UNGA),9/27/2013
Live At State With AF A/S Linda Thomas-Greenfield,10/3/2013
"Live@State The United States in Africa – Perspectives on Diplomacy, Development, and Defense Partnerships",10/23/2013
APEC Readout with Bob Wang,10/25/2013
DepSpox Harf Briefing,10/30/2013
Immigration and Entrepreneurship With Commissioner Fatima Shama,10/31/2013
Ex-Im Bank Chairman Fred Hochberg,11/4/2013
PACOM Briefing with ADM Locklear 'Asia-Pacific U.S. Security Overview',11/5/2013
"Wildlife Trafficking: A/S Jones, Dir Ashe, AAG Dreher",11/5/2013
Spec Envoy Climate Change Stern on COP-19 goals,11/8/2013
U.S.- Europe Trade Strategy:  A View From American Business,11/13/2013
IEW Google Hangout,11/14/2013
U.S. Immigration Demographic Trends,11/14/2013
Briefing Gettysburg Address 150th Anniversary,11/18/2013
DAS Susan Stevenson - Preview of U.S.-China People to People Exchange (CPE),11/18/2013
AMB Daniel Baer OSCE Briefing,11/25/2013
Innovation Unbounded @ Cornell Tech,11/25/2013
A/S  Biswal on US foreign policy in South and Central Asia,12/3/2013
Briefing with Department of State Deputy Spokesperson Marie Harf,12/4/2013
WHA A/S Jacobson Roundtable on 2014 Regional Priorities,1/15/2014
Briefing Mini-Series:  Walter Russell Mead,1/24/2014
Briefing Mini-Series:  Stephen Sestanovich,1/27/2014
Preview of the State of the Union,1/28/2014
Ben Rhodes: 2014 Foreign Policy Priorities for the Obama Administration,1/29/2014
A/S Russel on 2014 Objectives for EAP,2/4/2014
Update on Counter Narcotics and Justice Efforts in Afghanistan,2/6/2014
How To Cover DoD,2/12/2014
Social Media Week: 'Digital Diplomacy: Making Foreign Policy Less Foreign',2/18/2014
Diplomacy In Action -- Hong Bowl for Chinese Media,2/19/2014
Counterpiracy Update Briefing,2/20/2014
NSS Zuniga & A/S Jacobson on POTUS Participation at NALS 2014,2/21/2014
Conference Board CEO John Spector,2/26/2014
Human Rights Report 2013 - DRL Acting A/S Zeya,2/27/2014
Quadrennial Defense Review (QDR) Briefing,3/4/2014
APEC update with Bob Wang,3/5/2014
Institute of International Education Briefing,3/10/2014
Legislative Resources Workshop,3/12/2014
Trends in the U.S. Economy -- A Perspective by Steven Rattner,3/12/2014
Amb King on the Human Rights Situation in North Korea,3/14/2014
Foreign Policy Update with Deputy Spokesperson Marie Harf,3/14/2014
Professional Internships in the US,4/7/2014
Rhodes/Medeiros Preview of President Obama's Upcoming Trip to Asia,4/21/2014
Philanthropy: How America Gives,4/24/2014
Assistant Secretary Countryman Outlines U.S. Priorities in the Nuclear Non-Proliferation Treaty (NPT) Prep Com,4/29/2014
International Jazz Day: Showcasing America's Music,4/29/2014
Assistant Secretary Jacobson on U.S. Engagement,4/30/2014
World Press Freedom Day Briefing with A/S Doug Franz and Freedom House Project Director Karin Karlekar,5/1/2014
"Department of State Deputy Spokesperson Marie Harf on a ""Foreign Policy Update""",5/8/2014
Human Trafficking in Africa,5/13/2014
Tillemann Community of Democracies Briefing,5/22/2014
U.S. Army Corps of Engineers Media Roundtable,5/22/2014
A/S Roberta Jacobson and OAS Amb. Carmen Lomellin Preview the 44th OAS General Assembly,5/29/2014
Release of Global Survey of Student Opinions on the Future of Higher Education,6/9/2014
"Under Secretary of State for Economic Growth, Energy, and the Environment Cathy Novelli Previews Upcoming Oceans Conference",6/13/2014
Ben Rhodes,7/1/2014
Conference Board: Econ Outlook,7/9/2014
NATO LANDCOM Briefing,7/15/2014
Update on Afghanistan Elections,7/18/2014
DepSpox Harf Briefing,7/24/2014
A/S Russel at Brookings,8/4/2014
A/S Biswal on U.S. Foreign Policy Priorities in India,8/14/2014
APEC SOM Briefing with Bob Wang,8/27/2014
Dep Spox Harf briefing - UNGA,9/15/2014
Ocean Acidification (NOAA),9/17/2014
P5+1 Talks,9/18/2014
Commerce Dept: President's Export Council trip to Turkey/Poland,9/23/2014
UNGA ENR Panel with DAS Ichord,9/24/2014
UNGA SRAP Feldman,9/24/2014
UNGA AF Amb Booth (Sudan & South Sudan),9/25/2014
UNGA AF DAS David Gilmour,9/25/2014
UNGA EAP A/S Russel,9/26/2014
UNGA WHA A/S Jacobson,9/26/2014
Savannah Port/Panama Canal- Infrastructure,10/1/2014
Readout of Indian Prime Minister's visit to the U.S. - SCA A/S Biswal and SCA NSC Director Phil Reiner,10/2/2014
Secretary of State's Child Soldier Prevention Act - DRL Ambassador Michael Kozak,10/2/2014
Amb LeVine roundtable,10/6/2014
Secretary of Labor - Child Labor Findings,10/7/2014
2014 Midterm Elections - Senate Races,10/9/2014
Amb William Brownfield,10/9/2014
2014 Midterm Elections: Political Landscape,10/15/2014
U/S Novelli & Amb Sepulveda - Internet Governance - 2014 ITU,10/15/2014
Midterm Elections by the Numbers: Polling and Research with Jef Pollock,10/21/2014
2014 Midterm Elections: Political Ads,10/22/2014
NATO Update with DASD Townsend,10/27/2014
2014 Midterm Elections - John McLaughlin,10/29/2014
Election Night Program - Midterms,11/4/2014
2014 Midterm Elections - Columbia Midterm (The Morning After) with Robert Erikson,11/5/2014
Fighting Ebola on the Ground in West Africa,11/7/2014
Preview of POTUS Travel to Asia with Evan Medeiros,11/7/2014
Jen Psaki - Foreign Policy Update,11/12/2014
The 114th Congress (Hagstrom),11/13/2014
Nuclear Enterprise Policy - Perm Dep U/S of Defense McKeon,11/14/2014
Ebola - Imani House (Ideraabdullah),11/19/2014
Ebola - Save The Children (Jones),11/19/2014
Ebola - USAID (Pablos-Mendez),11/19/2014
U/S Sewall: Readout of Official Travel to India and Nepal,11/24/2014
World AIDS Day,12/1/2014
"AMB Birx, SGAC Interviews for World AIDS Day",12/3/2014
Media Roundtable on Counterpiracy with PM PDAS Chapman,12/5/2014
PM A/S Talwar To Walk the Earth in Safety,12/9/2014
Department of Commerce U/S Selig on U.S.-China Joint Commission on Commerce and Trade,12/19/2014
"SelectUSA with AMB LeVine, Exec Director Thummalappally",1/13/2015
Foreign Policy Update with DepSpox Marie Harf,1/15/2015
Preview of the President's 2015 State of the Union Address with Allan Lichtman,1/16/2015
NSC Senior Director for South Asian Affairs Phil Reiner - POTUS India Trip Readout,2/3/2015
A/S Russel - 2015 priorities for EAP,2/4/2015
Vietnam and Singapore Post- trip Interviews with PM A/S Talwar,2/4/2015
Ben Rhodes - National Security Strategy,2/9/2015
Brookings' John Hudak on Presidential Executive Orders,2/12/2015
Preview of the CVE Summit with U/S Sarah Sewall,2/18/2015
2015 CEO Challenge with Jon Spector,2/24/2015
FBI Cyber Fugitive,2/24/2015
Federal Reserve Bank 2015 Outlook,2/25/2015
Update on U.S. Policy in South and Central Asia - A/S Biswal,2/26/2015
NY State Clean Energy Briefing,2/27/2015
U/S Novelli on The President's Trade Agenda,3/3/2015
Jane Harman on Trade Promotion Authority (TPA),3/5/2015
Commission on Status of Women Briefing,3/11/2015
U/S Selig (Commerce) Preview of SelectUSA Summit,3/12/2015
International Women of Courage Awards,3/13/2015
SRAP Dan Feldman and Office of Af/Pak at USAID Larry Sampler on Afghan President Ghani's U.S. Visit,3/27/2015
MISSING LIST NAME,4/7/2015
Energy price impact scenarios; Conference Board,4/23/2015
NPT Review Conference,4/24/2015
USTR T-TIP 9th round,4/24/2015
Milan Expo,4/27/2015
Preview of PM Abe Visit with NSC Evan Medeiros,4/27/2015
DRL Judith Heumann - U.S.-China Meeting on Disability Rights,4/28/2015
World Press Freedom with Doug Frantz and Freedom House,4/29/2015
Trade agenda update with U/S Novelli,4/30/2015
Deputy Secretary Andrews (Commerce) on Cybersecurity trade mission,5/4/2015
Arctic Climate Change with NOAA scientists,5/5/2015
Energy Secretary Moniz on upcoming travel,5/20/2015
Readout of S Asia Travel with A/S Daniel Russel,5/21/2015
Re-establish Diplomatic Relations w/ Cuba- WHA A/S Jacobson and Josefina Vidal,5/22/2015
U/S Novelli Roundtable on Oceans,6/8/2015
Media Matters:  Covering LGBT Issues (GLAAD),6/10/2015
Asia Pacific TPP Briefing,6/15/2015
S&ED Preview with A/S Daniel Russel,6/18/2015
Citizenship Education and Awareness,6/26/2015
"Secretary Jewell travel to China, Vietnam",6/26/2015
ISN DAS Limage on Kazakh ISTC Agreement,6/30/2015
Update on White House Summit to Counter Violent Extremism (CVE) U/S Sewall,7/8/2015
Commerce Deputy Secretary Andrews on US-Ukraine Business Forum,7/9/2015
David Ellis - Insight into the U.S. Congress,7/15/2015
"From Washington State to Washington, D.C. – Celebrating the 25th Anniversary of the Americans with Disabilities Act (ADA)",7/27/2015
CBP 'Know the Facts' Awareness Campaign,8/21/2015
Ambassador-at-Large for Global Women's Issues Catherine M. Russell,9/8/2015
Under Secretary of Commerce Selig on U.S.-India Strategic and Commercial Dialogue,9/15/2015
U.S. Amb to Spain Costos,9/16/2015
NSC Brief on Xi Jinping,9/22/2015
UNDP SDGs,9/22/2015
AAG John Carlin,9/28/2015
Our Ocean Preview w U/S Novelli & FM Munoz,9/29/2015
UNGA PRM A/S Richard,9/29/2015
P3 Briefing with Spec Rep Drew O'Brien,9/30/2015
"Rashad Hussain, Special Envoy CSCC",9/30/2015
UNGA AF AS Thomas-Greenfield,9/30/2015
UNGA AF Special Envoys Perriello and Djinnit,9/30/2015
UNGA Special Envoy Booth (Sudan and South Sudan),10/1/2015
UNGA EAP A/S Russel,10/2/2015
UNGA Special Envoy Jonathan Winer on Libya,10/2/2015
UNGA WHA DAS Palmieri,10/2/2015
2016 Election - Voter Demographics with Robert Shapiro of Columbia,10/8/2015
AUSMIN DAS Matthews,10/9/2015
ROK President visit,10/14/2015
NASA Space Walk Briefing,10/22/2015
Professor Allan Lichtman State of the 2016 Election,10/28/2015
2016 Election - Update and Public Opinion Polling with Justin Phillips of Columbia,11/2/2015
APEC preview DAS Matthews,11/2/2015
Refugee Resettlement with Larry Bartlett,11/3/2015
CAPT Davis DoD Briefing for Foreign Journalists,11/4/2015
To Walk the Earth in Safety (TWEIS) Report,11/6/2015
Manhattan Project National Historical Park,11/9/2015
NYC Public Schools Milady Baez and Tatyana Kleyn,11/10/2015
U.S. and International Efforts to Counter Boko Haram,11/10/2015
2016 Elections - Overview of the League of Women Voters with Adrienne Kivelson,11/12/2015
EAP NSC re POTUS Asia travel,11/13/2015
Rock the Laughs: Humor’s Role in Presidential Elections,11/17/2015
U.S. Top Choice for International Students with Juan Mercado at City College,11/17/2015
US Amb Switzerland LeVine roundtable,11/17/2015
Preview of 2015 OSCE Ministerial,11/23/2015
Refugee Kids Film with Peter Miller and Renee Silverman,11/24/2015
"Setting the Course for a New Era in Energy for a Clean, Secure Future in the Run Up to COP21",12/1/2015
2016 Election - Update and Immigration Patterns with Vincent Boudreau of CUNY,12/2/2015
Bridging the Educational Gap for Syrian Emigrant Children,12/10/2015
Religious Pluralism in U.S. Foreign Policy - Special Representative to Muslim Communities Shaarik H. Zafar,12/11/2015
Religion and Global Affairs with S/R Shaun Casey,12/14/2015
Austin Long Counterterrorism Briefing,12/15/2015
Department of Treasury - Combatting ISIL Financing,12/16/2015
Stern Readout of COP21,12/21/2015
Air Force Europe Commander Perspective,1/11/2016
Bishop Tolton and Reverend Ngeo on Promoting LGBTI Rights in Asia and Africa,1/12/2016
Ben Rhodes on Obama Admin Priorities for 2016,1/13/2016
How U.S. Presidential Hopefuls Are Using Social Media,1/13/2016
CEO Challenge briefing with Rebecca Ray,1/14/2016
Congress at a Glance,1/19/2016
Interior Secretary Jewell on African Wildlife Trafficking,1/19/2016
ISN DAS Limage on ISTC Agreement with Kazakhstan,1/20/2016
Robert Snyder and Fritz Umbach on Crime and Policing in the United States,1/20/2016
Implementation of the Joint Comprehensive Plan of Action ( JCPOA) with Ambassador Stephen Mull,1/21/2016
Sosua Film Screening & Discussion,1/25/2016
Daniel Yepsen on Iowa Caucuses,1/25/2016
A/S Countryman  -- Proliferation Security Initiative,1/28/2016
Conway on Iowa Caucuses,1/29/2016
FBI 101: An Introduction to the Federal Bureau of Investigation,2/4/2016
Kirby- Foreign Policy Priorities,2/4/2016
CONS A/S Bond Roundtable,2/8/2016
NH Primary - Kyle Kondik Briefing,2/10/2016
Preview of the U.S.-ASEAN Summit - EAP Russel and NSC Kritenbrink,2/10/2016
The U.S. economic and trade relationship with ASEAN,2/10/2016
Counterterrorism in Cyberspace with Marie-Helen Maras,2/11/2016
Federal Reserve Bank 2016 Outlook with Richard Peach,2/17/2016
CT Briefing- Education for Employment with Jamie McAuliffe,2/23/2016
What's the Best Way to Cover Washington,2/23/2016
2016 Election - Robert Shapiro on Nevada & South Carolina,2/24/2016
Super Tuesday:  A Preview of the Latest Polls with Pollster John Zogby,2/29/2016
The ISIS Defectors Interview Project,2/29/2016
Election 2016:  Will Women Decide?,3/1/2016
2016 Election - The Day After Super Tuesday with Jeanne Zaino of Iona College,3/2/2016
"Unlicensed Practitioners of Immigration Law (USCIS, Immigration Coalition, NY District Attorney's Office)",3/4/2016
Deputy Spokesperson Toner,3/7/2016
U.S.-India Business roundtable - EB Special Representative Ziad Haider,3/8/2016
UNGA Preview - INL Brownfield Briefing,3/8/2016
The Florida and Ohio Primaries:  State of the Race in Two Key Battleground States,3/14/2016
160315 Cuba backgrounder,3/15/2016
Brian Crowley on March 15 primaries,3/17/2016
"Nuclear Security Summit: NGOs (CFR, Carnegie, Partnership for Global Security)",3/22/2016
NYC Schools Chancellor Carmen Farina,3/24/2016
Unrest in the Middle East: Spotlight on Violent Non-state Actors with Victor Asal,3/24/2016
NSS preview,3/29/2016
Colonel Calvert Worth U.S. Marine Corps Crisis Response Africa,3/30/2016
160414 Novelli briefing,4/14/2016
"2016 Election - Sharyn O'Halloran on the Economy, Trade and the Election",4/20/2016
SPOX Kirby - Foreign Policy Update: 2016 Priorities,4/20/2016
TTIP and Free Trade with Michael Moran,4/25/2016
Pennsylvania Primary Teleconference,4/26/2016
TTIP & Agricultural Economy with Andrew Novakovic,4/27/2016
TTIP AUSTR Dan Mullaney,4/28/2016
TTIP Joint Press Conference,4/29/2016
How Will the Presidential Race Impact Congressional Races?,5/5/2016
Port of Corpus Christi,5/5/2016
Froman brief at USTR,5/9/2016
Chairman Hochberg on U.S. Exports and Investment in Sub-Saharan Africa,5/16/2016
Preview of POTUS Asia trip,5/18/2016
New American Economy with James Parrott of Fiscal Policy Institute,5/19/2016
2016 Election - Focus on the Latino Electorate with Laird Bergad of CUNY,5/24/2016
2016 Election - What To Expect At The Conventions with Melinda Henneberger of Roll Call,5/25/2016
Citizenship Briefing with Robin Harper,5/26/2016
Ending AIDS with Deborah Birx,6/7/2016
Deputy Spokesperson Toner,6/9/2016
Film Screening: The Resettled with Alan Thompson,6/14/2016
SelectUSA Preview,6/15/2016
Readout on USAID Assistant Administrator’s Recent Travel to the Balkans,6/16/2016
Covering the Election? Two Words You Need to Know: Electoral College,7/14/2016
Iraq Pledging Conference 1-on-1 Interviews,7/20/2016
Ambassador At Large for International Religious Freedom David Saperstein on IRF Report,8/10/2016
"Deborah Lee James, Secretary of U.S. Air Force",8/17/2016
POTUS Asia travel pre-brief,8/30/2016
DAS Gonzalez - Caribbean Briefing,9/8/2016
Update from the Frontlines of the Refugee Crisis - HIAS,9/13/2016
UNGA - U.S. Priorities for UNGA-Crocker/Toner,9/19/2016
UNGA  - Conflict and Stabilization Operations in the Africa Region,9/20/2016
UNGA - U.S. Counterrorism Efforts,9/21/2016
"2016 Election - Media Perceptions of US Elections with AF/PD Jeff Loree and Danilo Yanich, Univ of Delaware",9/22/2016
UNGA - Global Refugee Crisis PRM,9/22/2016
UNGA - U.S. Priorities in Nonproliferation and Disarmament,9/22/2016
UNGA - Update on Issues Related to South Sudan,9/22/2016
UNGA - US Priorities in AF Region,9/23/2016
UNGA - US Priorities in East Asia Pacific,9/23/2016
UNGA - WHA PDAS Francisco (Paco) Palmieri,9/23/2016
Preview of the First Presidential Debate,9/26/2016
Deputy Spokesperson Toner,9/28/2016
PM Media Roundtable on UAVs,9/29/2016
Media Roundtable with SOUTHCOM ADM Tidd,10/5/2016
2016 Election - Women's Quest for the American Presidency with Dr. Ellen Fitzpatrick of Univ of New Hampshire,10/13/2016
Skelley on 2016 Elections - Is Congress in Play?,10/14/2016
2016 Election - Expectations for the Final Debate with David Birdsell of Baruch College,10/17/2016
2016 Election - Mapping- Electoral and Demographic Trends with Steven Romalewski of CUNY,10/20/2016
"2016 Election - The Economy, Trade and the 2016 Election with Sharyn O'Halloran of Columbia",10/26/2016
161102 A/S Kirby at FPC,11/2/2016
161103 EAP A/S Russel at FPC,11/3/2016
